GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
authentication-service,com.auth.models,Role,17,6,0,0,8,3,5,1,5,1
authentication-service,com.auth.models,User,7,43,0,0,3,16,2,8,2,8
authentication-service,com.auth.models,ERole,0,21,0,0,0,4,0,1,0,1
authentication-service,com.auth.payload.response,MessageResponse,4,9,0,0,2,4,1,2,1,2
authentication-service,com.auth.payload.response,JwtResponse,25,24,0,0,11,9,7,3,7,3
authentication-service,com.auth.payload.request,SignupRequest,0,24,0,0,0,10,0,7,0,7
authentication-service,com.auth.payload.request,LoginRequest,0,17,0,0,0,7,0,5,0,5
authentication-service,com.auth,AuthApp,8,0,0,0,3,0,2,0,2,0
authentication-service,com.auth.security.services,UserDetailsImpl,63,24,6,0,18,9,11,4,8,4
authentication-service,com.auth.security.services,UserDetailsServiceImpl,21,0,0,0,4,0,3,0,3,0
authentication-service,com.auth.controllers,AuthController,61,131,3,4,11,34,8,6,5,5
authentication-service,com.auth.security,WebSecurityConfig,93,0,0,0,18,0,10,0,10,0
authentication-service,com.auth.security.jwt,AuthEntryPointJwt,55,0,0,0,13,0,3,0,3,0
authentication-service,com.auth.security.jwt,AuthTokenFilter,74,0,8,0,19,0,8,0,4,0
authentication-service,com.auth.security.jwt,JwtUtils,89,4,0,0,23,1,5,1,5,1
