GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
doctor-service,default,SecurityConfig,25,0,0,0,7,0,2,0,2,0
doctor-service,com.doc,DoctorApp,8,0,0,0,3,0,2,0,2,0
doctor-service,com.doc.controllers,AppointmentController,9,77,1,1,1,16,3,7,2,7
doctor-service,com.doc.controllers,PrescriptionController,0,104,0,2,0,20,0,9,0,8
doctor-service,com.doc.controllers,BillingController,0,95,0,4,0,17,0,11,0,9
doctor-service,com.doc.controllers,MedicalRecordController,0,95,0,4,0,17,0,11,0,9
doctor-service,com.doc.controllers,PatientController,0,84,0,2,0,17,0,11,0,10
doctor-service,com.doc.controllers,DoctorController,0,84,0,2,0,17,0,11,0,10
doctor-service,com.doc.security,WebSecurityConfig,93,0,0,0,18,0,10,0,10,0
doctor-service,com.doc.models,Patient,0,80,0,0,0,34,0,23,0,23
doctor-service,com.doc.models,Doctor,0,45,0,0,0,19,0,13,0,13
doctor-service,com.doc.models,Prescription,0,38,0,0,0,16,0,11,0,11
doctor-service,com.doc.models,Billing,0,45,0,0,0,19,0,13,0,13
doctor-service,com.doc.models,Appointment,0,63,0,0,0,26,0,14,0,14
doctor-service,com.doc.models,User,0,50,0,0,0,19,0,10,0,10
doctor-service,com.doc.models,ToDos,15,45,0,0,6,19,1,13,1,13
doctor-service,com.doc.models,MedicalRecord,0,52,0,0,0,22,0,15,0,15
doctor-service,com.doc.models,Role,0,23,0,0,0,11,0,6,0,6
doctor-service,com.doc.models,ERole,0,21,0,0,0,4,0,1,0,1
doctor-service,com.doc.security.services,UserDetailsImpl,49,38,6,0,13,14,12,3,9,3
doctor-service,com.doc.security.services,UserDetailsServiceImpl,0,21,0,0,0,4,0,3,0,3
doctor-service,com.doc.security.jwt,AuthTokenFilter,28,46,2,6,6,13,2,6,0,4
doctor-service,com.doc.security.jwt,JwtUtils,11,46,0,0,2,11,1,5,1,5
doctor-service,com.doc.security.jwt,AuthEntryPointJwt,55,0,0,0,13,0,3,0,3,0
doctor-service,com.doc.config,WebConfig,59,0,0,0,8,0,2,0,2,0
doctor-service,com.doc.payload.response,MessageResponse,13,0,0,0,6,0,3,0,3,0
doctor-service,com.doc.payload.response,JwtResponse,49,0,0,0,20,0,10,0,10,0
